"131;895001;The Whole Truth;th;02/12/2021;Drama, Horror, Mystery, Thriller;"
"132;70112;Dahmer vs. Gacy;en;24/04/2010;Comedy, Horror;"
"133;316727;The Purge: Election Year;en;29/06/2016;Action, Horror, Thriller;"
"134;480414;The Curse of La Llorona;en;17/04/2019;Horror, Thriller;"
"135;47044;The Secret Life: Jeffrey Dahmer;en;01/01/1993;Drama, Horror, Thriller;"
"136;739990;Nightbooks;en;15/09/2021;Family, Fantasy, Horror;"
"137;9902;Wrong Turn;en;30/05/2003;Horror, Thriller;"
"138;861057;Swim;en;13/08/2021;Action, Horror;"
"139;11187;Child's Play 3;en;30/08/1991;Horror, Thriller;"
"140;338947;Hellraiser;en;28/09/2022;Horror, Mystery;"
"141;514847;The Hunt;en;11/03/2020;Action, Horror, Thriller;"
"142;521029;Annabelle Comes Home;en;26/06/2019;Horror, Mystery, Thriller;"
"143;619778;Malignant;en;01/09/2021;Horror, Mystery, Thriller;"
"144;776797;The Sadness;zh;22/01/2021;Horror, Thriller;"
"145;676547;Prey for the Devil;en;26/10/2022;Horror, Thriller;"
"146;675024;The Exorcism of Carmen Farias;es;05/05/2021;Horror;"
"147;9373;The Texas Chainsaw Massacre;en;21/05/2003;Horror;"
"148;381288;Split;en;15/11/2016;Horror, Thriller;"
"149;301804;Before I Wake;en;07/04/2016;Drama, Fantasy, Horror, Thriller;"
"150;493922;Hereditary;en;07/06/2018;Horror, Mystery, Thriller;"
"151;9532;Final Destination;en;17/03/2000;Horror;"
"152;167032;Curse of Chucky;en;04/10/2013;Horror, Thriller;"
"153;533642;Child's Play;en;19/06/2019;Horror;"
"154;576845;Last Night in Soho;en;21/10/2021;Fantasy, Horror, Mystery, Thriller;"
"155;158015;The Purge;en;31/05/2013;Horror, Science Fiction, Thriller;"
"156;396422;Annabelle: Creation;en;03/08/2017;Horror, Mystery, Thriller;"
"157;754934;Son;en;18/03/2021;Horror, Thriller;"
"158;786300;Tentacles;en;12/02/2021;Horror, Romance;"
"159;57084;Satanic Pandemonium;es;26/06/1975;Horror, Mystery, Thriller;"
"160;636879;A Nun's Curse;en;12/05/2020;Horror;"
"161;6537;The Orphanage;es;20/05/2007;Drama, Horror, Thriller;"
"162;607383;Aquaslash;en;29/07/2019;Comedy, Horror;"
"163;60304;Hansel & Gretel: Witch Hunters;en;17/01/2013;Action, Fantasy, Horror;"
"164;751237;Umma;en;18/03/2022;Horror, Mystery;"
"165;565;The Ring;en;18/10/2002;Horror, Mystery;"
"166;55779;Final Destination 5;en;12/08/2011;Horror, Mystery;"
"167;126889;Alien: Covenant;en;09/05/2017;Horror, Mystery, Science Fiction;"
"168;49018;Insidious;en;13/09/2010;Horror, Thriller;"
"169;440;Aliens vs Predator: Requiem;en;25/12/2007;Action, Fantasy, Horror, Science Fiction, Thriller;"
"170;227348;Paranormal Activity: The Marked Ones;en;01/01/2014;Horror, Thriller;"
"171;257445;Goosebumps;en;05/08/2015;Adventure, Comedy, Horror;"
"172;6466;Freddy vs. Jason;en;15/08/2003;Horror;"
"173;874924;Smile;en;01/12/2013;Horror, Thriller;"
"174;23827;Paranormal Activity;en;14/09/2007;Horror, Mystery;"
"175;740925;No One Gets Out Alive;en;29/09/2021;Horror, Mystery, Thriller;"
"176;7342;Carrie;en;04/11/2002;Drama, Horror, TV Movie;"
"177;590995;The Craft: Legacy;en;28/10/2020;Drama, Fantasy, Horror;"
"178;23202;Trick 'r Treat;en;;;"
"179;10781;The Texas Chainsaw Massacre: The Beginning;en;05/10/2006;Horror, Thriller;"
"180;745881;The Medium;th;14/07/2021;Horror, Thriller;"
"181;310131;The Witch;en;27/01/2015;Drama, Fantasy, Horror, Mystery;"
"182;664356;The Cannibal Killer: The Real Story of Jeffrey Dahmer;en;15/01/2020;Horror;"
"183;8329;[REC];es;23/11/2007;Horror, Mystery;"
"184;681019;Nobody Sleeps in the Woods Tonight;pl;13/03/2020;Horror, Thriller;"
"185;419430;Get Out;en;24/02/2017;Horror, Mystery, Thriller;"
"186;11152;The Ruins;en;02/04/2008;Horror;"
"187;250546;Annabelle;en;02/10/2014;Horror;"
"188;11357;Halloween 4: The Return of Michael Myers;en;21/10/1988;Horror, Thriller;"
"189;91586;Insidious: Chapter 2;en;12/09/2013;Horror, Thriller;"
"190;4232;Scream;en;20/12/1996;Crime, Horror, Mystery;"
"191;715658;The Scientist;en;21/09/2020;Drama, Horror;"
"192;37169;The Human Centipede (First Sequence);en;26/04/2009;Horror;"
"193;52520;Underworld: Awakening;en;19/01/2012;Action, Fantasy, Horror;"
"194;9286;Final Destination 3;en;09/02/2006;Horror, Mystery;"
"195;602734;Spiral: From the Book of Saw;en;12/05/2021;Crime, Horror, Mystery;"
"196;591275;Fear Street: 1666;en;14/07/2021;Horror, Mystery;"
"197;273477;Scouts Guide to the Zombie Apocalypse;en;23/10/2015;Comedy, Horror;"
"198;670429;Witch Hunt;en;01/10/2021;Drama, Fantasy, Horror, Thriller;"
"199;295830;Attack on Titan;ja;01/08/2015;Action, Fantasy, Horror, Science Fiction;"
"200;82507;Sinister;en;29/03/2012;Horror, Mystery, Thriller;"
"201;19908;Zombieland;en;07/10/2009;Comedy, Horror;"
"202;442062;Goosebumps 2: Haunted Halloween;en;11/10/2018;Adventure, Comedy, Family, Fantasy, Horror;"
"203;720026;Butchers;en;15/10/2020;Horror;"
"204;926980;The Privilege;de;09/02/2022;Horror;"
"205;9358;Final Destination 2;en;31/01/2003;Horror, Mystery;"
"206;647302;Benny Loves You;en;21/11/2019;Comedy, Horror;"
"207;460019;Truth or Dare;en;12/04/2018;Horror, Thriller;"
"208;447332;A Quiet Place;en;03/04/2018;Drama, Horror, Science Fiction;"
"209;694;The Shining;en;23/05/1980;Horror, Thriller;"
"210;346672;Underworld: Blood Wars;en;24/11/2016;Action, Fantasy, Horror, Thriller;"
"211;9003;Hellraiser;en;11/09/1987;Fantasy, Horror;"
"212;10066;House of Wax;en;30/04/2005;Horror, Thriller;"
"213;397243;The Autopsy of Jane Doe;en;21/12/2016;Horror, Mystery;"
"214;581392;Peninsula;ko;15/07/2020;Action, Horror, Thriller;"
"215;9792;The Hills Have Eyes;en;10/03/2006;Horror, Thriller;"
"216;565028;Candyman;en;25/08/2021;Horror, Mystery, Thriller;"
"217;793002;Dreamcatcher;en;05/03/2021;Horror, Mystery, Thriller;"
"218;11284;Freddy's Dead: The Final Nightmare;en;05/09/1991;Horror, Thriller;"
"219;13207;Friday the 13th;en;11/02/2009;Horror;"
"220;238636;The Purge: Anarchy;en;17/07/2014;Horror, Thriller;"
"221;509635;Alone;en;10/09/2020;Horror, Thriller;"
"222;116322;The Legend of La Llorona;es;21/10/2011;Animation, Family, Fantasy, Horror;"
"223;348;Alien;en;25/05/1979;Horror, Science Fiction;"
"224;777620;Caged;en;26/01/2021;Horror, Thriller;"
"225;420634;Terrifier;en;15/10/2016;Horror, Thriller;"
"226;585216;Escape Room: Tournament of Champions;en;01/07/2021;Horror, Mystery, Thriller;"
"227;19994;Jennifer's Body;en;18/09/2009;Comedy, Horror;"
"228;259072;Wrong Turn 6: Last Resort;en;22/08/2014;Horror;"
"229;215;Saw II;en;28/10/2005;Horror;"
"230;523931;Megalodon;en;10/08/2018;Action, Horror, Science Fiction, TV Movie;"
"231;575088;Baba Yaga: Terror of the Dark Forest;ru;27/02/2020;Horror;"
"232;524251;I See You;en;11/09/2019;Crime, Horror, Mystery, Thriller;"
"233;24150;Halloween II;en;28/08/2009;Horror;"
"234;340382;Attack on Titan II: End of the World;ja;01/09/2015;Action, Fantasy, Horror, Science Fiction;"
"235;16871;Drag Me to Hell;en;15/03/2009;Horror, Thriller;"
"236;839440;Dinosaur Hotel;en;11/06/2021;Horror, Mystery, Science Fiction;"
"237;11237;Anacondas: The Hunt for the Blood Orchid;en;26/08/2004;Action, Adventure, Horror;"
"238;14001;Dead Silence;en;16/03/2007;Horror;"
"239;214;Saw III;en;27/10/2006;Crime, Horror, Thriller;"
"240;4488;Friday the 13th;en;09/05/1980;Horror;"
"241;530385;Midsommar;en;03/07/2019;Drama, Horror, Mystery;"
"242;338967;Zombieland: Double Tap;en;09/10/2019;Comedy, Horror;"
"243;11361;Halloween 5: The Revenge of Michael Myers;en;12/10/1989;Horror, Thriller;"
"244;36647;Blade;en;21/08/1998;Action, Horror;"
"245;43947;I Spit on Your Grave;en;17/06/2010;Crime, Horror, Thriller;"
"246;30497;The Texas Chain Saw Massacre;en;01/10/1974;Horror;"
"247;793967;Phobias;en;28/02/2021;Horror, Thriller;"
"248;22970;The Cabin in the Woods;en;12/04/2012;Fantasy, Horror;"
"249;732713;Evil Eye;en;01/04/2020;Horror, Mystery, Thriller;"
"250;714277;The Funeral Home;es;15/04/2021;Horror;"
"251;611651;Sator;en;21/07/2019;Horror;"
"252;1091;The Thing;en;25/06/1982;Horror, Mystery, Science Fiction;"
"253;441701;Veronica;es;25/08/2017;Horror;"
"254;406563;Insidious: The Last Key;en;03/01/2018;Horror, Mystery, Thriller;"
"255;839678;Unhuman;en;03/06/2022;Comedy, Horror;"
"256;675327;Shadow in the Cloud;en;31/12/2020;Action, Horror, War;"
"257;76617;Texas Chainsaw 3D;en;03/01/2013;Horror, Thriller;"
"258;72571;Paranormal Activity 3;en;19/10/2011;Horror, Mystery;"
